id,Found?,old ID,pieces,name,series,artist,imageUrl,boxImageUrl,autoUrl,autoUrl1,autoUrl2
12000061,Yes,,1000,The Kiss,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000061.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000061.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000061_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000061_2.webp
12000062,Yes,,1000,Cherubini,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000062.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000062.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000062_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000062_2.webp
12000063,Yes,,1000,The Virgin,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000063.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000063.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000063_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000063_2.webp
12000064,Yes,,1000,Starry Night,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000064_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000064.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000064.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000064_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000064_2.webp
12000065,Yes,,1000,Politische Weltkarte,,,https://ravensburger.cloud/images/produktseiten/820x600/12000065_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000065.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000065_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000065_2.webp
12000066,Yes,,1000,The Kiss,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000066_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000066.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000066_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000066_2.webp
12000067,Yes,,1000,The Scream,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000067.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000067.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000067_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000067_2.webp
12000068,Yes,,1000,The Birth of Venus,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000068.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000068.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000068_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000068_2.webp
12000069,Yes,16944,500,Minu's Pond Daydreams,,,https://ravensburger.cloud/images/produktseiten/820x600/12000069_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000069.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000069.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000069_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000069_2.webp
12000070,Yes,,1000,Vase of sunflowers,Art Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000070.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000070.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000070_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000070_2.webp
